gender,manner_of_death
Male,Natural
Male,Natural
Male,Natural
Male,Homicide Justified (Law Enforcement Staff)
Male,Natural
Male,Accidental
Male,Homicide Justified (Law Enforcement Staff)
Male,Homicide Justified (Law Enforcement Staff)
Male,Suicide
Male,Natural
Male,Natural
Male,Natural
Male,Pending Investigation
Male,Natural
Male,Natural
Male,Natural
Male,Natural
Male,Natural
Male,Suicide
Male,Suicide
Male,Homicide Willful (Other Inmate)
Male,Natural
Male,Natural
Male,Suicide
Male,Natural
Male,Natural
Male,Natural
Male,Suicide
Male,Natural
Male,Suicide
Male,Natural
Male,Natural
Male,Natural
Male,Accidental
Male,Natural
Male,Accidental
Male,Natural
Male,Suicide
Male,Natural
Male,Natural
Male,Natural
Male,Homicide Justified (Law Enforcement Staff)
Male,Suicide
Male,Natural
Male,Homicide Justified (Law Enforcement Staff)
Male,Homicide Justified (Law Enforcement Staff)
Male,Natural
Male,Natural
Male,Natural
Male,Accidental
Male,Natural
Male,Natural
Male,Natural
Male,Natural
Male,Natural
Male,Accidental
Male,Natural
Male,Natural
Male,Natural
Male,Natural
Male,Suicide
Male,Homicide Willful (Other Inmate)
Male,Accidental
Male,Natural
Male,Natural
Male,Natural
Male,Homicide Justified (Law Enforcement Staff)
Male,Suicide
